nu1 nu2 nu3  J Ka Kc               E         unc transitions Gamma   Nb     Etrove  Obs-Calc
  0   0   0  0  0  0     0.000000000 0.000000000           8    A'    1     0.0000  0.000000
  0   0   0 10  6  4   767.910213196 0.000400053          20    A'    7   767.9077  0.002513
  0   0   0 10  6  5   767.910252252 0.000400073          20    A"    6   767.9077  0.002552
  0   0   0 15  8  7  1379.818184099 0.000489989           8    A"   17  1379.8152  0.002984
  0   0   0 15  8  8  1379.818186829 0.000529168           9    A'   14  1379.8152  0.002987
  0   0   0 10  7  4  1022.886519488 0.000447279          11    A'   12  1022.8931  0.006581
  0   0   0 10  7  3  1022.886494190 0.000447261           9    A"   10  1022.8931  0.006606
  2   0   0 15  4 11  7462.002347995 0.001337045           8    A"  537  7461.9954  0.006948
  0   0   0 10  5  5   551.123876867 0.000346505          42    A"    5   551.1146  0.009277
  0   0   0 10  5  6   551.123882609 0.000346528          37    A'    6   551.1146  0.009283
  0   0   0 15  9  7  1709.347290109 0.000529191           4    A"   25  1709.3582  0.010910
  0   0   0 15  9  6  1709.347288162 0.000529206           4    A'   21  1709.3582  0.010912
  3   1   0 15  2 14 11669.379442377 0.005019962           1    A' 1620 11669.3671  0.012342
  0   0   0 10  4  6   373.026071874 0.000346438          61    A'    5   373.0121  0.013972
  0   0   0 10  4  7   373.026077437 0.000346461          56    A"    4   373.0121  0.013977
  0   0   0 15  7  8  1087.291069620 0.000489934          11    A'   10  1087.2763  0.014770
  0   0   0 15  7  9  1087.291070404 0.000489989          13    A"   12  1087.2763  0.014770
  0   0   0 10  3  8   234.042310295 0.000346419          68    A'    4   234.0254  0.016910
  0   0   0 10  3  7   234.042313930 0.000282876          70    A"    3   234.0254  0.016914
  0   0   0 20  9 12  1798.247814981 0.000663392           5    A'   25  1798.2306  0.017215
  0   0   0 20  9 11  1798.247822696 0.000663336           5    A"   21  1798.2306  0.017223
  0   0   0 10  8  3  1315.490463617 0.000489958           9    A"   14  1315.5085  0.018036
  0   0   0 10  8  2  1315.490439947 0.000489942           8    A'   17  1315.5085  0.018060
  0   0   0 10  2  9   134.514048330 0.000346435          67    A"    2   134.4955  0.018548
  0   0   0 10  2  8   134.517150844 0.000346422          68    A'    3   134.4986  0.018551
  0   0   0 10  1 10    74.336208577 0.000346422          57    A'    2    74.3171  0.019109
  0   0   0 10  0 10    54.735207993 0.000346422          49    A'    1    54.7156  0.019608
  0   0   0 10  1  9    75.053045174 0.000346426          56    A"    1    75.0334  0.019645
  0   0   1 10  2  8   858.270648344 0.000529156           9    A'   10   858.2908  0.020152
  0   0   1 10  2  9   858.267490202 0.000489916           9    A"    8   858.2877  0.020210
  1   0   0 15  7  8  4658.079259648 0.001565259           2    A'  151  4658.1027  0.023440
  3   1   0 15  2 13 11669.390885808 0.005019961           1    A" 1794 11669.3671  0.023786
  1   0   1  0  0  0  4331.908978656 0.000785875           1    A'   18  4331.9330  0.024021
  0   0   0 15  6  9   832.382265723 0.000489989          20    A"    7   832.3580  0.024266
  0   0   0 15  6 10   832.382277050 0.000489934          19    A'    6   832.3580  0.024277
  3   1   0 10  0 10 11532.336168306 0.002019903           2    A' 1586 11532.3614  0.025232
  2   0   0 20  2 19  7331.509484926 0.000822778           7    A"  447  7331.5377  0.028215
  2   0   0 20  2 18  7331.565684741 0.000822757           5    A'  499  7331.5941  0.028415
  0   0   0 15 10  6  2075.217217841 0.000565723           2    A'   27  2075.2457  0.028482
  0   0   0 15 10  5  2075.217217462 0.000565737           2    A"   32  2075.2457  0.028483
  0   0   0 15  5 11   615.653634086 0.000489989          43    A"    6   615.6223  0.031334
  0   0   0 15  5 10   615.653636144 0.000489934          47    A'    5   615.6223  0.031336
  0   0   0 10  9  2  1645.105603474 0.000529206           4    A'   25  1645.1372  0.031597
  0   0   0 10  9  1  1645.105580224 0.000529191           4    A"   21  1645.1372  0.031620
  0   0   0 20  8 13  1468.837803445 0.000663335          10    A"   14  1468.8057  0.032103
  0   0   0 20  8 12  1468.837811718 0.000632470           9    A'   17  1468.8057  0.032112
  2   0   0 15  3 13  7333.994755919 0.001337045           6    A"  512  7334.0270  0.032244
  2   0   0 15  3 12  7333.994487610 0.001337017           6    A'  457  7334.0270  0.032512
  0   0   1 15  0 15   842.645141518 0.000565699           5    A"    8   842.6120  0.033142
  0   0   0 15  4 12   437.603847787 0.000489913          61    A'    4   437.5675  0.036348
  0   0   0 15  4 11   437.603850790 0.000489989          65    A"    5   437.5675  0.036351
  0   0   0 15  3 12   298.658168657 0.000489912          62    A'    3   298.6186  0.039569
  0   0   0 15  3 13   298.658147000 0.000447235          60    A"    4   298.6185  0.039647
  0   0   0 15  2 13   199.168357375 0.000489911          60    A"    3   199.1269  0.041457
  0   0   0 15  2 14   199.153361709 0.000447233          59    A'    2   199.1119  0.041462
  0   0   0 15  1 15   138.567700614 0.000447231          54    A"    2   138.5259  0.041801
  2   0   0 10  4  7  7397.612001292 0.001291369           7    A"  438  7397.5702  0.041801
  2   0   0 10  4  6  7397.612004612 0.001306753           7    A'  494  7397.5702  0.041805
  0   0   1 10  3  7   957.669723570 0.000489934          10    A"    9   957.6271  0.042624
  0   0   1 10  3  8   957.669771910 0.000529156           9    A'   11   957.6271  0.042672
  0   0   0 15  0 15   119.386048739 0.000447231          45    A"    1   119.3433  0.042749
